,100-200,200-300,300-400,400-500,500-600,600-700,700-800,800-900,900-1000,1000-1100,1100-1200,1200-1300,1300-1400,1400-1500,1500-1600,1600-1700,1700-1800,1800-1900,1900-2000,2000-2100,2100-2200,2200-2300,2300-2400,2400-2500,2500-2600,2600-2700,2700-2800,2800-2900,2900-3000,3000-3100,3100-3200
ROW 1,0,0,0,0,0,4,8,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROW 2,0,0,0,0,0,8,5,3,7,6,6,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROW 3,0,0,0,0,6,2,4,5,8,4,7,4,6,7,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROW 4,0,0,0,0,0,3,2,10,6,6,6,5,5,6,0,42,11,1,7,3,7,0,6,1,0,0,0,0,0,0,0
ROW 5,0,0,0,4,2,6,4,4,9,10,2,7,5,7,0,31,2,6,8,3,7,6,2,3,2,0,5,1,0,0,0
ROW 6,0,0,4,0,5,4,4,4,5,8,10,6,6,8,0,20,6,3,6,10,3,7,1,7,0,5,0,6,3,5,0
ROW 7,0,0,0,4,0,5,4,4,5,8,6,12,8,8,6,3,10,3,6,5,4,8,3,6,0,6,5,4,8,14,11
ROW 8,0,0,0,4,0,4,4,4,4,4,5,13,4,5,5,5,7,6,5,5,5,7,3,3,7,1,5,8,12,0,0
ROW 9,0,0,4,3,1,3,1,4,4,4,7,5,5,8,0,22,8,7,2,7,7,11,8,0,7,3,5,9,3,0,0
ROW 10,0,4,0,4,0,4,0,4,4,4,7,4,6,5,6,8,8,2,8,8,7,9,9,2,7,6,5,9,18,0,0
ROW 11,0,6,0,4,2,2,4,2,2,5,6,5,5,6,0,18,8,6,4,8,4,8,9,8,0,5,6,10,7,0,0
ROW 12,0,0,0,4,2,4,1,8,2,3,5,6,2,8,6,6,6,8,10,3,5,6,10,7,6,3,8,18,4,0,0
ROW 13,0,0,4,0,3,1,4,0,8,4,2,5,6,9,7,6,8,5,10,7,8,14,5,8,5,6,14,10,0,0,0
ROW 14,3,3,0,4,0,4,0,4,3,6,8,1,3,7,0,15,6,9,5,4,7,9,10,10,2,12,10,0,0,0,0
ROW 15,4,0,4,0,4,0,5,0,5,6,2,6,5,1,0,11,10,8,4,2,4,11,10,12,5,13,16,0,0,0,0
ROW 16,0,0,0,4,0,4,2,5,5,2,7,2,4,6,0,11,4,6,7,6,9,12,14,9,7,15,0,0,0,0,0
ROW 17,0,1,3,1,4,2,3,4,1,8,0,6,3,2,0,16,2,5,8,5,8,10,14,10,9,12,0,0,0,0,0
ROW 18,0,0,0,4,1,5,0,6,3,3,8,1,7,5,0,14,9,6,1,7,10,6,6,14,6,14,4,0,0,0,0
ROW 19,0,2,2,0,5,4,3,3,2,6,0,7,2,8,0,13,1,6,3,7,8,4,11,8,14,12,15,0,0,0,0
ROW 20,0,0,2,3,2,4,4,4,4,1,8,1,8,5,0,17,7,3,4,9,9,2,9,8,7,8,12,0,0,0,0
ROW 21,0,0,4,2,5,3,4,5,0,4,1,6,4,1,0,14,0,5,0,7,9,8,1,9,8,6,21,8,0,0,0
ROW 22,0,0,5,0,6,0,5,1,5,1,4,4,1,3,1,6,6,1,9,9,6,4,8,0,5,5,8,43,13,0,0
ROW 23,0,0,0,6,0,5,0,5,1,4,3,3,4,1,0,23,1,8,1,9,9,4,4,7,4,3,5,9,0,0,0
ROW 24,0,0,0,0,5,4,4,1,5,3,1,4,1,6,0,22,9,0,8,4,3,5,1,5,4,7,7,4,0,0,0
ROW 25,0,0,0,0,0,0,5,0,6,0,6,1,4,3,2,3,7,8,2,7,7,1,8,5,1,9,12,0,0,0,0
ROW 26,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,21,9,1,8,2,3,4,5,3,10,12,0,0,0,0,0
ROW 27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,13,12,2,0,0,0,0
ROW 28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,0
