X,,Area (AU),,,,,
,0-50,50-150,150-300,300-800,800-1800,1800-3000,3000-8000
779.344,2904.5975,,,,,,
1010.344,2899.5975,,,,,,
1009.344,2853.5975,,,,,,
1008.344,2806.5975,,,,,,
-145.656,2791.5975,,,,,,
-733.656,2788.5975,,,,,,
-731.656,2788.5975,,,,,,
83.3440000000001,2780.5975,,,,,,
453.344,2772.5975,,,,,,
961.344,2761.5975,,,,,,
1053.344,2759.5975,,,,,,
266.344,2684.5975,,,,,,
-104.656,2646.5975,,,,,,
-59.656,2598.5975,,,,,,
680.344,2582.5975,,,,,,
400.344,2496.5975,,,,,,
909.344,2485.5975,,,,,,
955.344,2484.5975,,,,,,
-247.656,2464.5975,,,,,,
-848.656,2431.5975,,,,,,
-849.656,2384.5975,,,,,,
-803.656,2383.5975,,,,,,
-843.656,2368.5975,,,,,,
-64.656,2367.5975,,,,,,
1921.344,2324.5975,,,,,,
258.344,2314.5975,,,,,,
-1129.656,2298.5975,,,,,,
395.344,2265.5975,,,,,,
457.344,2231.5975,,,,,,
430.344,2223.5975,,,,,,
718.344,2212.5975,,,,,,
-1223.656,2207.5975,,,,,,
-992.656,2202.5975,,,,,,
253.344,2083.5975,,,,,,
853.344,2070.5975,,,,,,
-1041.656,2065.5975,,,,,,
-394.656,2051.5975,,,,,,
20.344,1996.5975,,,,,,
-1367.656,1979.5975,,,,,,
-880.656,1933.5975,,,,,,
850.344,1931.5975,,,,,,
110.344,1901.5975,,,,,,
-103.656,1858.5975,,,,,,
-1386.656,1833.5975,,,,,,
-1000.656,1833.5975,,,,,,
-1037.656,1825.5975,,,,,,
-1032.656,1824.5975,,,,,,
-584.656,1824.5975,,,,,,
-76.656,1813.5975,,,,,,
201.344,1807.5975,,,,,,
-28.6559999999999,1805.5975,,,,,,
-26.6559999999999,1805.5975,,,,,,
524.344,1800.5975,,,,,,
-1371.656,1795.5975,,,,,,
-588.656,1795.5975,,,,,,
-1278.656,1793.5975,,,,,,
-867.656,1777.5975,,,,,,
199.344,1734.5975,,,,,,
337.344,1711.5975,,,,,,
-726.656,1688.5975,,,,,,
-448.656,1682.5975,,,,,,
59.3440000000001,1671.5975,,,,,,
-81.6559999999999,1582.5975,,,,,,
-35.6559999999999,1581.5975,,,,,,
-9.65599999999995,1568.5975,,,,,,
-1329.656,1563.5975,,,,,,
332.344,1480.5975,,,,,,
-917.656,1410.5975,,,,,,
246.344,1349.5975,,,,,,
-1126.656,1344.5975,,,,,,
237.344,1344.5975,,,,,,
791.344,1332.5975,,,,,,
-1103.656,1326.5975,,,,,,
790.344,1285.5975,,,,,,
805.344,1285.5975,,,,,,
795.344,1284.5975,,,,,,
743.344,1240.5975,,,,,,
95.3440000000001,1208.5975,,,,,,
372.344,1202.5975,,,,,,
-829.656,1182.5975,,,,,,
-644.656,1178.5975,,,,,,
371.344,1156.5975,,,,,,
741.344,1148.5975,,,,,,
-460.656,1128.5975,,,,,,
739.344,1055.5975,,,,,,
-925.656,1045.5975,,,,,,
-787.656,996.5975,,,,,,
-68.656,991.5975,,,,,,
736.344,917.5975,,,,,,
-1251.656,914.5975,,,,,,
226.344,835.5975,,,,,,
457.344,830.5975,,,,,,
-514.656,805.5975,,,,,,
-283.656,800.5975,,,,,,
-741.656,776.5975,,,,,,
-741.656,754.5975,,,,,,
316.344,741.5975,,,,,,
251.344,720.5975,,,,,,
315.344,695.5975,,,,,,
-563.656,668.5975,,,,,,
-148.656,612.5975,,,,,,
-9.65599999999995,609.5975,,,,,,
944.344,585.5975,,,,,,
253.344,553.5975,,,,,,
682.344,548.5975,,,,,,
710.344,545.5975,,,,,,
404.344,508.5975,,,,,,
588.344,504.5975,,,,,,
681.344,502.5975,,,,,,
-1352.656,500.5975,,,,,,
-276.656,493.5975,,,,,,
541.344,459.5975,,,,,,
-1169.656,449.5975,,,,,,
309.344,417.5975,,,,,,
-338.656,385.5975,,,,,,
1752.344,337.5975,,,,,,
1751.344,335.5975,,,,,,
1690.344,326.5975,,,,,,
-1680.656,323.5975,,,,,,
-988.656,262.5975,,,,,,
-646.656,243.5975,,,,,,
398.344,232.5975,,,,,,
582.344,228.5975,,,,,,
675.344,226.5975,,,,,,
859.344,174.5975,,,,,,
134.344,163.5975,,,,,,
118.344,145.5975,,,,,,
442.344,138.5975,,,,,,
-159.656,105.5975,,,,,,
-1408.656,86.5975000000003,,,,,,
1548.344,64.5975000000003,,,,,,
-317.656,23.5975000000003,,,,,,
-1180.656,-36.4024999999997,,,,,,
-585.656,-42.4024999999997,,,,,,
-928.656,-46.4024999999997,,,,,,
219.344,-69.4024999999997,,,,,,
531.344,-73.4024999999997,,,,,,
575.344,-95.4024999999997,,,,,,
-678.656,-97.4024999999997,,,,,,
154.344,-131.4025,,,,,,
919.344,-132.4025,,,,,,
-339.656,-175.4025,,,,,,
-813.656,-203.4025,,,,,,
711.344,-236.4025,,,,,,
-629.656,-254.4025,,,,,,
-966.656,-266.4025,,,,,,
202.344,-272.4025,,,,,,
1067.344,-297.4025,,,,,,
186.344,-299.4025,,,,,,
173.344,-303.4025,,,,,,
-260.656,-308.4025,,,,,,
108.344,-308.4025,,,,,,
-754.656,-316.4025,,,,,,
432.344,-323.4025,,,,,,
570.344,-326.4025,,,,,,
-1159.656,-330.4025,,,,,,
-808.656,-333.4025,,,,,,
919.344,-350.4025,,,,,,
1123.344,-351.4025,,,,,,
-123.656,-357.4025,,,,,,
-574.656,-363.4025,,,,,,
-1234.656,-426.4025,,,,,,
-402.656,-444.4025,,,,,,
1135.344,-468.4025,,,,,,
-989.656,-507.4025,,,,,,
659.344,-513.4025,,,,,,
11.3440000000001,-545.4025,,,,,,
-266.656,-585.4025,,,,,,
-82.656,-589.4025,,,,,,
899.344,-591.4025,,,,,,
749.344,-607.4025,,,,,,
-267.656,-631.4025,,,,,,
-1516.656,-651.4025,,,,,,
-881.656,-658.4025,,,,,,
-684.656,-669.4025,,,,,,
-423.656,-669.4025,,,,,,
-407.656,-675.4025,,,,,,
1321.344,-675.4025,,,,,,
-1550.656,-683.4025,,,,,,
100.344,-686.4025,,,,,,
-1861.656,-703.4025,,,,,,
-1101.656,-706.4025,,,,,,
-826.656,-723.4025,,,,,,
700.344,-745.4025,,,,,,
1109.344,-768.4025,,,,,,
52.3440000000001,-777.4025,,,,,,
38.344,-797.4025,,,,,,
-826.656,-804.4025,,,,,,
1435.344,-824.4025,,,,,,
-1012.656,-846.4025,,,,,,
-966.656,-847.4025,,,,,,
-642.656,-854.4025,,,,,,
-480.656,-939.4025,,,,,,
409.344,-1386.4025,,,,,,
-1875.656,-1410.4025,,,,,,
-331.656,-1416.4025,,,,,,
38.344,-1424.4025,,,,,,
-1212.656,-1536.4025,,,,,,
-1455.656,-1913.4025,,,,,,
-752.656,-1921.4025,,,,,,
-489.656,-1926.4025,,,,,,
-473.656,-1928.4025,,,,,,
56.3440000000001,-1934.4025,,,,,,
-1569.656,-1943.4025,,,,,,
675.344,-2146.4025,,,,,,
-1049.656,-2187.4025,,,,,,
476.344,-2543.4025,,,,,,
-1328.656,-2643.4025,,,,,,
-453.656,-2800.4025,,,,,,
-407.656,-2801.4025,,,,,,
-1241.656,-2876.4025,,,,,,
-243.156,2760.5975,,,,,,
-635.156,2055.5975,,,,,,
-587.656,1793.0975,,,,,,
-292.156,1567.5975,,,,,,
-1001.656,1288.0975,,,,,,
16.8440000000001,1095.5975,,,,,,
-1298.156,1073.5975,,,,,,
-988.156,633.5975,,,,,,
-777.156,624.5975,,,,,,
-1072.656,513.0975,,,,,,
-751.156,395.5975,,,,,,
1750.344,326.0975,,,,,,
-1170.156,-331.4025,,,,,,
-574.156,-375.4025,,,,,,
-550.656,-390.9025,,,,,,
-781.656,-548.9025,,,,,,
-63.656,-644.9025,,,,,,
-700.656,-669.9025,,,,,,
-1067.656,-707.9025,,,,,,
-824.656,-801.9025,,,,,,
-1570.656,-1910.9025,,,,,,
-936.656,-1985.9025,,,,,,
-1244.156,-2875.4025,,,,,,
-807.656,-2976.9025,,,,,,
-970.323,2536.9305,,,,,,
-447.323,1672.2645,,,,,,
-660.323,526.2645,,,,,,
-266.989,509.2645,,,,,,
-452.323,508.2645,,,,,,
-276.656,499.5975,,,,,,
-626.323,249.2645,,,,,,
-354.323,101.2645,,,,,,
-840.989,71.9305000000004,,,,,,
-605.656,21.5975000000003,,,,,,
-359.323,-159.0695,,,,,,
409.011,-307.7355,,,,,,
-631.989,-848.735499999999,,,,,,
-265.156,2786.0975,,,,,,
-377.906,2291.8475,,,,,,
-1251.156,2174.0975,,,,,,
-857.656,1748.8475,,,,,,
926.344,1732.8475,,,,,,
-350.906,665.5975,,,,,,
-370.156,118.0975,,,,,,
-630.156,18.0975000000003,,,,,,
-345.656,-160.6525,,,,,,
-964.156,-273.9025,,,,,,
-270.156,-567.4025,,,,,,
-690.156,-665.4025,,,,,,
-478.906,-1928.1525,,,,,,
-946.656,-1981.9025,,,,,,
-730.156,-2467.9025,,,,,,
-743.256,2601.3975,,,,,,
-635.056,2061.7975,,,,,,
-984.256,1278.7975,,,,,,
-634.656,888.5975,,,,,,
-641.256,878.7975,,,,,,
-1057.056,877.7975,,,,,,
-300.256,769.397500000001,,,,,,
-663.856,520.9975,,,,,,
-1064.456,505.1975,,,,,,
-635.456,-249.8025,,,,,,
-451.856,-267.8025,,,,,,
-955.856,-289.8025,,,,,,
-1163.656,-331.4025,,,,,,
-988.256,-492.2025,,,,,,
7.14400000000023,-544.8025,,,,,,
-704.856,-668.0025,,,,,,
-1312.056,-1705.2025,,,,,,
-455.823,2603.7645,,,,,,
