,,Y
1,2788.5,75.5
2,2401.579,110.179
3,2350.429,112.48
4,2140.5,107.5
5,2369.57,120.174
6,2602.5,117.5
7,2399.222,143.851
8,2360.079,141.507
9,2787.973,151.459
10,2751.861,154.087
11,2367.806,161.223
12,2823.651,169.705
13,2338.105,169.54
14,2324.5,157.5
15,2744.762,173.652
16,2791.436,195.258
17,3025.134,198.105
18,2754.898,191.469
19,2998.119,198.019
20,3042.654,213.043
21,1768.5,191.5
22,2980.517,210.747
23,3063.417,234.944
24,2785.5,213.5
25,3016.5,218.5
26,2990.09,230.804
27,3009.647,245.898
28,3035.917,257.494
29,1767.5,237.5
30,3112.347,250.905
31,3132.944,257.483
32,3154.298,270.015
33,3114.049,271.821
34,2969.5,263.5
35,3015.5,264.5
36,3061.5,265.5
37,3101.916,285.215
38,3129.527,289.283
39,2088.954,295.493
40,3148.151,290.667
41,2525.706,298.615
42,2138.188,302.078
43,2482.828,305.866
44,3105.674,301.217
45,2826.75,310.513
46,2859.339,310.667
47,3135.891,310.5
48,2112.223,310.913
49,3113.723,314.165
50,2091.581,316.391
51,1769.949,315.726
52,2154.939,320.79
53,1734.67,324.5
54,3038.865,320.714
55,3060.877,325.504
56,3014.5,311.5
57,2529.893,329.595
58,3016.175,325.901
59,2474.418,325.208
60,2822.216,332.392
61,2885.584,336.322
62,3117.806,331.298
63,2072.473,346.601
64,1767.838,327.676
65,2107.55,331.518
66,1792.753,350.951
67,1860.5,326.5
68,1751.712,330.167
69,2133.846,335.448
70,2999.994,341.795
71,1719.5,329.5
72,2483.257,341.897
73,1741,332
74,1764.767,335.8
75,1778.453,337.641
76,1904.5,333.5
77,1748.008,339.123
78,3037.653,345.658
79,2122.784,358.374
80,2089.5,337.5
81,2830.367,353.365
82,2859.116,359.953
83,1763.553,347.362
84,2112.913,349.073
85,1786.045,345.227
86,3072.419,355.022
87,2980.824,357.004
88,3048.822,359.513
89,1752.833,347.444
90,2459.5,345.5
91,1746.622,358.116
92,1775.891,353.938
93,1422.905,362.275
94,3020.891,363.488
95,1382.265,372.588
96,2967.5,356.5
97,1763,357.5
98,3059.5,358.5
99,2987.526,373.52
100,1398.435,373.734
101,3008.848,381.709
102,1416.075,375.007
103,3065.486,379.795
104,3042.052,383.345
105,1433.431,396.771
106,1407.127,383.813
107,1421.605,382.289
108,1393.785,398.785
109,3072.729,394.076
110,1417.781,388.125
111,3014.749,400.633
112,2994.977,397.318
113,3052.761,406.405
114,3028.066,413.293
115,2680.279,435.833
116,1394.5,414.5
117,2646.482,428.127
118,2314.728,447.236
119,2272.5,433.5
120,2260.137,447.746
121,2637.797,441.975
122,2286.233,452.204
123,1900.819,461.209
124,2641.541,457.662
125,2224.699,481.703
126,1930.289,470.222
127,2660.974,472.831
128,2269.607,473.329
129,2323.022,480.192
130,2932.553,487.351
131,1908.797,480.942
132,2912.767,482.886
133,1901.5,471.5
134,1947.5,472.5
135,2291.909,487.064
136,1936.817,491.135
137,1895.824,483.662
138,1548.759,492.037
139,2893.282,492.093
140,1882.261,510.556
141,1568.718,493.532
142,2262.438,500.197
143,2878.897,502.575
144,1900.869,499.437
145,2934.039,520.085
146,1264.546,506.636
147,1576.668,505.067
148,1236.73,517.239
149,1531.619,528.215
150,1924.541,510.104
151,1923.034,528.229
152,1555.2,508.35
153,1574.095,536.953
154,1545.147,508.206
155,1561.45,512.8
156,1907.677,515.323
157,2883.054,520.671
158,1542.472,515.417
159,1250.565,523.349
160,1550.333,514.333
161,1572.575,524.285
162,1262.9,516.7
163,2909.155,526.331
164,1556,519.5
165,1258.079,522.237
166,1551.333,529.097
167,1946.5,519.5
168,1268.25,522.45
169,1261.5,533.627
170,1276.187,547.178
171,1250.26,542.149
172,1238.399,553.64
173,2686.5,535.5
174,1264.708,543.25
175,1029.243,551.329
176,3148.5,545.5
177,1020.456,559.1
